待ちに待った最終回。どうなるんやら…,等了又等的最终回。会变成怎么样呢…
せっかく凶器から指紋を拭き拭き取ったのに…,好不容易才把凶器上的指纹擦掉的…
押収されてない！？,没被没收！？
血は拭いたんじゃない？さすがに,血是擦掉了吧？毕竟
直してくれた？,修好了？
📷,📷
もしかして壊れてない奴？ならやり直せるのか？,难道是没坏的那个？那能重来了吗？
直った？,修好了？
血糊でシャッターが押せなくなってただけなんかな,只是因为血迹按不下快门了吗
凶器だぞ押収されるだろ,是凶器哦会被没收的吧
キラキラ…,闪闪发光…
綺麗になってる？,变干净了？
証拠品押収されなかったん？,证物没被没收吗？
綺麗になってる,变干净了
←直ってない。東くんが返却時に綺麗にしない性格とは思えないし拭いただけだと思う,←没修好。不觉得东君是还东西时不弄干净的性格，所以应该是只擦了
悪口言いにきたんだ,是来说坏话的
証拠品持ち出してるのかよ,把证物带出来了啊
綺麗に戻ってる,干净地恢复了
まじかる鈍器,魔法钝器
凶器です,是凶器
きゃわわ,好可爱
まりなちゃんを入れてた容器はどうなったんだ,装着真理奈酱的容器怎么样了
兄からキラキラ受け継いだか,从哥哥那继承了闪闪发光吗
ちゃんと綺麗にしてある,好好地弄干净了
東くん側からもしっかり友情感じてたの泣けるわ,能感受到东君这边也有着深厚的友情，看哭了
こんなん凶器って言われても信じられんだろ,这样就算说是凶器也没人信吧
東くんほんと大好き,真的好喜欢东君
警察がこうゆうの所持するんじゃないの,警察不是应该持有这种东西的吗
最後に友達になれた,最后成为朋友了
渡してないんだよ,没有交出去哦
🐙難しいッピ,🐙好难pi
持ってきたの,带来了啊
やはり東直樹が天才か,果然东直树是天才吗
あ！凶器,啊！凶器
カメラは警察に渡さなかった説,照相机没交给警察说
勝手に……？,擅自……？
タコピーって本当に俺みたいな頭脳してる,小章鱼真的和我有一样的头脑
この世界では東くんだけは大きく成長できたね,在这个世界里只有东君获得了巨大的成长呢
そうでもないさ　東くんだったからこそ、しずかちゃんの味方になれて自分自身の大切な一線を踏み越えずに済めたんだよ,也不是那样，正因为是东君，才能成为静香酱的同伴，也没有跨过自己珍视的底线
それ持ち帰れたの,那个能带回来吗
誰もが目を奪われる完璧で究極のアイドル,被所有人夺去目光的完美又究极的偶像
東がなおすのかｗ,东来修吗w
眼鏡変わった？買ってもらえたのか,眼镜换了？给他买了吗
ビックカメラ,Bic Camera
綺麗にするやん…,弄干净了嘛…
今度は東くんがシューティングスターに・・・,这次轮到东君变成shooting star了・・・
メガネ銀色だったっけ？,眼镜是银色的吗？
メガネ買ってもらえたのか,给他买眼镜了吗
度の合ったメガネ買って貰えたのか,给他买了度数合适的眼镜吗
一人でよがった後,一个人高潮之后
東くんは幸せになって,东君要幸福啊
僕じゃ駄目というのも答えなんや。出来ない事を恥じる事はない行動して得たことを尊べ,“我不行”也是一种答案。没必要为做不到的事感到羞耻，要珍惜行动后得到的东西
物証だったら手元にないだろうからタコピーに返すつもりでこれの話してないんじゃないかな,如果是物证的话应该不在手边了，所以不是打算还给小章鱼时说的这话吧
おまえ、目がハートになっちゃってたからなあ。純粋な下心しかなかったからなぁ・・・,你啊，眼睛都变成心形了。只有纯粹的色心啊・・・
押収ないんだ…,没有没收啊…
新しいメガネか？,新眼镜吗？
どこまで巻き戻ったの？,倒回到哪里了？
時間軸いつだ,时间轴是啥时候
関わらない方が良いという事もあると学んだわけか,学到了不扯上关系比较好这件事吗
福祉用語で言う自己覚知が唯一できた人物だッピ,是唯一一个做到了福利术语里说的自我觉察的人物pi
いやいや自首はすごいぞ,不不不自首很厉害哦
タコが出頭しろよ,章鱼去自首啊
←まりなちゃん殺害した世界線だよ,←是杀了真理奈酱的世界线哦
このセリフ刺さるわ、お節介って難しいよな,这句台词好扎心啊，多管闲事真难啊
ショタショタショタショタ,正太正太正太正太
東は警察行ってないぞ,东没去警察局哦
この東くんいたからこそなんよな,正因为有这个东君啊
朝が来る,天亮了
東くんはしずかちゃんと離れた方が確実に幸せになれると思う,东君和静香酱分开的话肯定能变得幸福
おこがましいとは思わんかね,不觉得太狂妄了吗
鈍器と言ったらカメラ♪♪,说到钝器就是照相机♪♪
メンタルが小4レベルじゃない,心理年龄不是小4级别
シュワッチ,Shuwatch
もう誰がいい子なんか分からん,已经搞不懂谁是好孩子了
皆幸せになって,希望大家都幸福
助けてあげようなんて思うのが違った、刺さる,想要去帮助别人这个想法本身就是错的，扎心
聖人に浄化されてる・・・,被圣人净化了・・・
フラテルニテの話、した？,Fraternité的话题，说了吗？
助けてあげようはお為ごかし,想要帮助别人是伪善
結果だけ見たら状況かき回すだけかけ回して退場みたいな感じだからね東くん,只看结果的话，就像是把状况搅得一团糟然后退场的感觉呢，东君
軽い気持ちで行動した代償をこの歳で知る羽目に・・・,轻率行动的代价，在这个年纪就知道了・・・
パパに会いに行って、わかんないッピして、殴られてココに逃げ帰ってきた？,去找爸爸，说了搞不懂pi，然后被打，逃到这里来了？
教育された評価軸が歪んでいるから結果に現れてしまう,被教育的评价标准是扭曲的，所以才会体现在结果上
夏頃って３時台には明るくなるのよねー,夏天的话3点多天就亮了呢—
←誰が良い子とかじゃない。人間いい所も悪い所もある,←不是谁是好孩子的问题。人既有优点也有缺点
それだけ他人を助けるのって大変だから棲み分けができるんかな。貧しい人間と裕福な人間。,就是因为这么难，帮助别人这件事才能分工吧。贫穷的人和富裕的人。
この作品、他所の子を助けようとしたことあるとグサグサ刺さる,这部作品，有过想要帮助别人家的孩子经历的人会感觉被疯狂扎心
しゃあない、助けましょうっていう洗脳教育を施してるんだから,没办法，因为被灌输了“去帮助别人吧”的洗脑教育
大人は上っ面で救済というバカやるからなｗ　人なんて結局は自分勝手に生きるだけなのに,大人们只会做表面功夫的救济这种蠢事w 人终究只是自私地活着而已
この年でこれが言えるって凄いっピ…,这个年纪能说出这种话，好厉害pi…
マリナは東のこと好きだったからな,真理奈是喜欢东的
新品☆,新品☆
家庭問題やいじめを抱える子を助けるのは本当に難しい,帮助有家庭问题或被欺凌的孩子真的很难
頼まれなくたって 生きてやる じゃんk……,就算不被拜托 也要活下去 不是吗k……
「してあげよう」はどちらかが満たされなかった時に恨みに変わるんだ……,「想要为（你）做」在某一方得不到满足时就会变成怨恨……
この歳でこの境地に立てるのは凄い,这个年纪能达到这个境界很厉害
人は勝手に助かるだけだよ、東くん,人只是自己得救了而已哦，东君
むしろ東くんが助けてほしかったんだ,倒不如说东君才是想被帮助的那个
「人が人を助けていいのは、自分の手が直接届くところまで」ってやつだな,就是那个「人能帮助的只有自己能直接触及的范围」吧
自分を救えるのは自分しかいない,能拯救自己的只有自己
ここ,这里
｢助けてあげよう｣→傲慢さもある,｢想要帮助你｣→也有傲慢的成分
自分を助けることが出来るのは自分だけなんだよね,能帮助自己的只有自己
タコは東京から無意識で飛んで帰ってきてる、しずかちゃんはまだ東京,章鱼从东京无意识地飞回来了，静香酱还在东京
これ東くん自身がタコピーを表してるんだな。独りよがりで、助けてあげようとしている客観視,这是东君自身在表现小章鱼啊。自以为是，想要帮助别人的客观视角
助けない、勝手に助かるだけ,不去救，只是擅自得救了
メガネ変わってる！！,眼镜换了！！
なおきくんの人生としての正解が「久瀬しずかに関わらないこと」だったのがなんともなぁ…,对直树君的人生来说，正确答案就是「不和久世静香扯上关系」，真是…
「わしらには救えぬものじゃ」,「此非吾等可救之物」
まりな/しずかが相似形のように東/タコピーもお互いの似姿,真理奈/静香是相似形，东/小章鱼也是互相的影子
メガネ綺麗,眼镜好干净
それでも救われたこともあったと思う,即使如此也觉得有被拯救的时候
新しい眼鏡だ...！,新眼镜...!
メガネかえたか？,换眼镜了吗？
メガネ新しくなった？,眼镜换新的了？
黒縁から銀縁にかわっている,从黑框换成了银框
眼鏡変えてる！！！！！！！！！,换眼镜了！！！！！！！！！
人一人助けるって一人だと人生や命かけないと無理、大勢の協力よ,救一个人，靠自己是需要赌上人生或性命的，需要很多人的协力
眼鏡…,眼镜…
メガネ変わってる…！,眼镜换了…！
助けず関わらない事　が正解なんよなぁ,不帮助不扯上关系，才是正确答案啊
まあしずかちゃんを救うには何大抵の努力じゃ無理よね,嘛要救静香酱，一般的努力是不够的呢
助けてあげようと言うのは執着だからな、優しいと助けてあげるは全く違う,想要帮助别人是执着，温柔和想要帮助是完全不同的
頑丈そうな眼鏡買ってくれたんだな,给他买了结实的眼镜啊
メンタル強すぎ,心理太强大了
「あげよう」は結局上から目線なんだよなぁ,「给你」说到底是居高临下的语气
眼鏡が変わった！？,眼镜换了！？
めがねちがうー！,眼镜不一样—！
