就是这张脸,この顔です
啊，喂,あ、おい
这就是2025年的寒蝉吗,これが2025年のひぐらしか
寒蝉君总是这种角色呢,ひぐらしくんいつもこんな役回りだね
好了，把目击者也杀了吧,よし、目撃者も殺そう
必须灭口,消さないと
吗？吗？,かな？かな？
察觉得真快呢,察しがいいねぇ
寒蝉在鸣叫,ひぐらしが啼く
你知道得太多了・・・,お前は知り過ぎた・・・
东(原来如此静香酱杀了人‼︎做了我做不到的事！对此感到麻痹和憧憬‼︎,東(なるほどしずかちゃんは人を殺した‼︎僕には出来ない事をしている！そこに痺れる憧れる‼︎
啊—看到了,あー見ちゃった
已经只能杀了哦,もう殺すしかなくなっちゃったよ
马上…就要结束了。全部都要结束了……没错，在寒蝉鸣泣之时,もうすぐ…終わる。全部終わる……そう、ひぐらしのなく頃に
东同学！,あずまくん！
是悲伤的事件呢…,悲しい事件だったね…
不行—！,あかーん！
寒蝉在哭呢,ひぐらしないてんなぁ
被看到了,見られた
看到了吗,見てしまったかぁ
寒蝉凌虐之时,ひぐらしの嬲り頃す頃に
赢了哦,勝ったで
是讨厌的事件呢,嫌な事件だったね
因为柯南君来了・・・,コナン君が来たから・・・
好了，杀吗,よし、殺るか
看得见吗,見えるの
看到了吧—,見ぃたなあー
“还能用”哥的玩具增加了呢…,まだ使えるニキの玩具が増えるね…
怎么会,なんてことを
啊～啊，看到了呢,あ～あ、見ちゃったね
情报量太多了piko,情報量が多すぎるっぴ
看什么看,何見てんだよ
结束,おわり
完蛋了,オワタ
已经只能杀了哦…,もう殺すしかなくなっちゃったよ…
我讨厌直觉敏锐的小鬼,勘のいいガキは嫌いだよ
东同学来了,東くんきた
被看到了必须灭口,見られちゃった消さなきゃ
寒蝉的名演技在发光,ひぐらしの名演技が光る
最喜欢东同学,東くん一番すき
共犯者,共犯者
你已经回不去了吧？,お前もう生きて帰れねぇなぁ？
Woody！,ウッディ！
富竹flash,富竹フラッシュ
目击者不能留活口哦,目撃者は生かしておけないよ
啊啊,あっあっ
「你知道得太多了」,「お前は知り過ぎた」
←不是过去式是现在进行时啊（事件）,←過去形じゃなくて現在進行形なんだよなあ（事件）
alien www,エイリアンｗｗｗ
我要处理掉你…💣️,君を始末させてもらう…💣️
暴露了？,バレた？
为什么看得见,なんでみえてんの
好！灭口吗！,おっし！消すか！
已经只能杀掉了呢,もう殺すしかないねぇ
嘿,へ
糟、糟了,ま、まずい
完——,おわーー
灭口灭口灭口,消せ消せ消せ
牙白暴露了,やばいバレる
说话了啊啊啊啊啊啊啊!!!!!!,ｼｬﾍﾞｯﾀｱｱｱｱｱｱｱｱ!!!!!!
好了东君也来happy☆吧！,よし東君もハッピー☆しようぜ！
情报！情报太多了！,情報が！情報が多い！
别说恶心啊啊啊啊,きもいっていうなぁぁぁあ
是讨厌的…事件呢…,嫌な…事件だったね…
是寒蝉鸣叫的季节吗？还是说误以为是在猎奇场面放的BGM？,ひぐらしが鳴く季節なんか？それとも猟奇的な場面で流すBGMと勘違いしてる説なのか？
是初体验呢♡,初体験だね♡
你知道得太多了(奸笑…),お前は知りすぎた(ﾆﾁｬ…)
东「还能用・・・」,東「まだ使える・・・」
好色,えっろ
东君这也太地狱了吧,あずま君地獄すぎるやろこれ
看到高达的人不能让他活着回去,ガンダムの姿を見た者は生かして帰すわけにはいかない
诶ｯｯｯｯｯｯｯｯ,ｴｯｯｯｯｯｯｯｯ
3个人开烤肉party吧,３人で焼肉パーティーしようぜ
找到了吗？,見つけちゃった？
好了共犯,はい共犯
必须把所有反抗的家伙都杀光,逆らう奴ら全員ぶっ殺さなきゃ
茉莉奈酱以外都是短袖吧,まりなちゃん以外は半袖だろ
是女孩子的尸体吗兴奋起来了,女の子のしたいかぁ興奮してきたな
差不多不行了,そろそろだめかも
脸比上周更因绝望而扭曲了而且腐败是不是有点进展了？,先週より顔が絶望感に歪んでるし若干腐敗進んでね？
👴🏻爸爸会好好地收在身体里的哦,👴🏻パパの体の中に大事にしまっておくよ
夏、夏美子…,しゃ、シャミ子…
真的是不能用了w,さすがに使えねえよw
已经开始变色了・・・,もう変色し始めてる・・・
闭嘴的话就是个可爱的孩子呢,黙ってればカワイイ子なのにね
终于能用了,ようやく使える
哎呀呀♡,あらら♡
既然看到了就…呢,見てしまったからにはもう...ね
D E A D B O D Y,D E A D B O D Y
是初体验呢♡,初体験だね♡
变色的茉莉奈酱,変色まりなちゃん
变得青白了,青白くなってる
不说话的你非常可爱哦…,喋らない君はとても可愛いよ…
rest in peace marina R.I.P,rest in peace marina R.I.P
🐻「　还　能　吃　」,🐻「　ま　だ　喰　え　る　」
已经只能杀了哦,もう殺すしかなくなっちゃったよ
皮肤的颜色…………好细致,肌の色が…………細かい
变得超白了,すっげー白くなってる
？？？「发现尸体了必须报警开会」,？？？「死体発見したから通報して会議しなきゃ」
新鲜采摘,採れたて新鮮
夏天腐坏得快,夏は傷むの早い
颜色哦…,色ぉ…
变成土色了,土気色になってる
脸色不好哦？,顔色悪いよ？
连眼睛都不给闭上真是讨厌的reality,目も閉じてやらないの嫌なリアリティあるな
不要的话我拿走了哦,いらないなら俺が貰うね
像是“我在干什么啊？”的表情,私何やってんだろ？って顔してんな
对着这张死脸能撸三次,この死に顔で三回は抜ける
没血色了,血の気が失せとる
吉良吉影也好好看着,吉良吉影もよう見とる
好表情,いい表情だ
富竹「是讨厌的事件呢」,富竹「いやな事件だったね」
土色？,土気色？
别叫醒我，累得要死,起こさないでくれ、死ぬほど疲れてる
“还能用”真的草,まだ使えるホンマ草
还远远能用,まだまだ使える
渐渐变冷了草都枯了,段々冷たくなっていってて草枯れる
不行( ﾟДﾟ),あか( ﾟДﾟ)
大概这种时候寒蝉就会叫,だいたいこういう時はひぐらしが鳴くのじゃ
糟了,しまった
“还能用”哥们是goblin还是什么吗？(恐怖),まだ使えるニキ達はゴブリンか何かかな？(恐怖)
这个的话能用,これなら使える
是稍微经过了点时间的颜色吗？,ちょっと時間経過した色してる？
快点变成叶子,早く葉っぱにしろ
城里人不知道但在乡下是常有的事by库尔特U・x・U,都会の人は知らなくても田舎じゃよくある事byクルトU・x・U
已经没血色了嘛,血の気ないやんもう
感觉已经很冷了,もう冷たそうだけど
别吵醒茉莉奈她累得要死,まりなを起こさないでやってくれ死ぬほど疲れてる
被反复拍的茉莉奈酱好可怜,何度も映されるまりなちゃん不憫
是讨厌的事件呢､､､,嫌な事件だったね､､､
了,られ
颜色牙白,色がやばい
皮肤好白ぃぃぃ,肌白いぃぃぃ
要是沙都子在就能变成叶子了・・・,さとこがいれば葉っぱにできたのに・・・
就算是小学生看柯南之类的也看惯了吧,小学生でもコナンとかで見慣れてそう
去搜索necrophilia吧piko！,ネクロフィリアで検索するっぴ！
清楚地明白了呢,はっきりわかんだね
好好地变成了没有血色的颜色呢,ちゃんと血の気が無い色してるね
变成土色了啊…,土気色になってきたな…
普通地暴露了呢,普通にバラすんだね
人啊，死了之后血色会消失，变得像人造物一样哦,人ってね、死ぬと血の色がなくなって作り物みたいになるんだよ
不妙吧,まずいだろ
这样就成了真正的僵尸女王了呢（终末train）,これで本当のゾンビの女王になれたね（終末トレイン）
只能杀了吗,殺すしかないか
暴露了,ばれちゃった
魔法(格斗),魔法(格闘)
这样就是共犯了呢,これで共犯だね
“还能用”哥是happy星的居民还是什么？,まだ使えるニキはハッピー星の住民か何か？
魔法（用camera殴打）,魔法（カメラで殴打）
哇—,うわー
能用到明天,明日まで使える
开始变色了啊,変色してきたな
官方X公开了随着时间经过出血量增加的设定图 人心呢？,公式Xで時間経過で出血が増えてる設定画が公開　人の心とかないんか？
啊—啊被看到了吗,あーあ見られちゃったか
能内在同学的尸体前冷静对话的小学生(绝望),クラスメイトの死体の前で冷静な会話ができる小学生(絶望)
既然被看到了…,見られたからには…
魔法（力量）,魔法（力）
魔法（肌肉）,魔法（筋肉）
呜啊,うあ
魔法是什么来着,魔法って何だっけ
性癖要坏掉了,性癖が壊れるわ
魔法…？,魔法…？
已经腐败了,もう腐敗しとる
魔法(肉体语言),魔法(肉体言語)
没有UNDERTALE的P route那样的route吗?,UNDERTALEのPルート的なルートないの?
魔法(殴杀),魔法(殴殺)
魔法（Abracadabra）,魔法（アブラケタブラ）
啊啊,ぁあ
魔法是・・・？,魔法とは・・・？
差不多不能用了,そろそろ使えない
魔法……诶！？,魔法……え！？
←为什么公开那种东西啊…（吓退）,←なんでそんなもの公開してんすか…（ドン引き）
魔法(强打击),魔法(強打撃)
物理就是魔法，清楚地明白了呢,物理は魔法、はっきりわかんだね
奇迹也好，魔法也好，都是存在的哦！（没有）,奇跡も、魔法も、あるんだよ！（ない）
我可不知道这么物理的魔法！？,こんな物理的な魔法知らないぞ！？
魔法（暴力）,魔法（暴力）
魔法(kick strike),魔法(キックストライク)
还能用哦,まだ使えるぞ
锻炼到极限的物理会被错认成魔法呢…,極限まで鍛え上げられた物理は魔法と間違われるからね…
鞠躬吧！茉莉奈酱！Avada Kedavra！,お辞儀をするのだ！まりなちゃん！アバダケダブラ！
Avada是什么鬼,アバズってなんだよ
下面的洞好像还能用,まだ下の穴は使えそう
魔法(扑杀),魔法(撲殺)
怒涛的物理评论w,怒濤の物理コメｗ
只是打的地方不太好,ちょっと打ちどころが悪かったんだ
《章鱼噼的原罪》是MASHLE吗…？,タコピーの原罪はマッシュルだった…？
魔法（殴打）,魔法（殴打）
>>死了吗<<,>>死んだの<<
是魔法…吗…？,魔法…なのか…？
物理定期,物理定期
魔法(用camera扑杀),魔法(カメラで撲殺)
魔法（才不需要呢）,魔法（だっていらないよ）
别那么看嘛，会害羞的❤️,そんなに見るなよ、照れるだろ❤️
Piko！(叫声),ピィ！(鳴き声)
魔法（Zoltraak）,魔法（ゾルトラーク）
魔法（无法）,魔法（無法）
